SITE_NAME,Lat,Lon,Veast,Vnorth,Vup,sigEast,sigNorth,sigUp
MEE2,36.1805267538,239.2331503987,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
MEE2,36.180526751500004,239.2331503859,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
MEE2,36.1805267535,239.2331503937,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
MEE2,36.180526747100004,239.23315038849998,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
MIDA,35.9219149373,239.54116690080002,-0.01506,0.01994,-0.00223,0.0004,0.00029,0.00095
MIDA,35.9219149365,239.5411671038,-0.01506,0.01994,-0.00223,0.0004,0.00029,0.00095
MIDA,35.9219148601,239.54116704930001,-0.01506,0.01994,-0.00223,0.0004,0.00029,0.00095
MIDA,35.9219135719,239.5411682134,-0.01506,0.01994,-0.00223,0.0004,0.00029,0.00095
MIDA,35.921913613899996,239.54116816229998,-0.01506,0.01994,-0.00223,0.0004,0.00029,0.00095
MNMC,35.9694735025,239.5659460348,-0.01147,0.01771,0.00125,0.00023999999999999998,0.00014,0.00063
MNMC,35.969473415500005,239.56594598759997,-0.01147,0.01771,0.00125,0.00023999999999999998,0.00014,0.00063
MNMC,35.9694725937,239.5659465145,-0.01147,0.01771,0.00125,0.00023999999999999998,0.00014,0.00063
MNMC,35.969472596100005,239.5659465361,-0.01147,0.01771,0.00125,0.00023999999999999998,0.00014,0.00063
MNMC,35.9694726144,239.56594648400002,-0.01147,0.01771,0.00125,0.00023999999999999998,0.00014,0.00063
MULN,36.565085376999996,239.9083884312,-0.00831,0.01015,-0.09717999999999999,0.00058,0.00037999999999999997,0.008320000000000001
MULN,36.5650852878,239.90838827349998,-0.00831,0.01015,-0.09717999999999999,0.00058,0.00037999999999999997,0.008320000000000001
MULN,36.5650852853,239.9083883413,-0.00831,0.01015,-0.09717999999999999,0.00058,0.00037999999999999997,0.008320000000000001
P056,36.0274382455,240.93712813599998,-0.01281,0.01056,-0.07117000000000001,0.00036,0.00021,0.00805
P056,36.027438241999995,240.9371280779,-0.01281,0.01056,-0.07117000000000001,0.00036,0.00021,0.00805
P280,35.5440564619,239.6523915162,-0.02446,0.0301,-0.00081,0.00015,0.00015,0.00059
